"함평군",1.4,46378,32050
"영광군",0.5,28542,53099
"장성군",0.6,27810,44464
"완도군",0.5,26107,49916
"진도군",0.6,17487,31227
"신안군",1.7,66463,38938
"포항시",0.5,271960,502916
"경주시",0.6,145520,253502
"김천시",0.5,76063,140548
"안동시",0.5,85324,158907
"구미시",0.5,220317,416328
"영주시",0.6,57225,103119
"영천시",0.6,62199,102015
"상주시",0.6,54957,97228
"문경시",0.5,37684,71406
"경산시",0.5,141274,263728
"군위군",0.7,15249,23256
"의성군",0.6,31871,51724
"청송군",0.6,15957,25044
"영양군",0.6,9904,16692
"영덕군",0.5,19363,36313
"청도군",0.6,25790,42263
"고령군",0.7,21202,31361
"성주군",0.7,32003,43414
"칠곡군",0.6,70529,114758
"예천군",0.5,30282,55613
"봉화군",0.6,18282,31494
"울진군",0.5,26681,48716
"울릉군",0.6,5753,9077
"진주시",0.5,171220,348096
"통영시",0.4,54079,128293
"사천시",0.5,58003,111105
"김해시",0.5,281502,542338
"밀양시",0.6,59773,104831
"거제시",0.4,108296,245754
"양산시",0.5,174259,352229
"창원시",0.6,599336,1036738
"의령군",0.6,15250,26800
"함안군",0.9,59904,64182
"창녕군",0.6,36351,61301
"고성군",0.5,27025,51361
"남해군",0.5,20383,42958
"하동군",0.6,24640,44785
"산청군",0.6,20989,34857
"함양군",0.5,19918,39080
"거창군",0.5,32974,61502
"합천군",0.5,23965,44006
"제주시",1.0,509181,492466
"서귀포시",0.6,106161,182169
