구,고급휘발유,휘발유,경유,실내등유,셀프여부,상표
강남구,1839.9,1742.48,1545.39,0,일반,GS칼텍스
강남구,1896.33,1796.33,1596.33,0,일반,GS칼텍스
강남구,2109,1909.97,1745.35,1509.97,일반,SK에너지
강남구,2081.19,1884.52,1706.45,1499,일반,SK에너지
강남구,2031.83,1820.19,1654.9,1499,일반,SK에너지
강남구,1925.33,1680.93,1559,1499,일반,SK에너지
강남구,1899,1662.87,1539,0,일반,SK에너지
강남구,1928.03,1703.37,1560.1,1499,일반,SK에너지
강남구,0,1931.19,1724.03,0,일반,SK에너지
강남구,0,1927,1725,0,일반,SK에너지
강남구,0,1883.39,1681.65,0,일반,SK에너지
강남구,0,1787.33,1587.33,0,일반,SK에너지
강남구,0,1699,1499,0,일반,SK에너지
강남구,0,1699,1499,0,일반,SK에너지
강남구,2145,1978,1826,0,일반,S-OIL
강남구,2145,1978,1826,0,일반,S-OIL
강남구,2090.48,1924.77,1771.48,0,일반,S-OIL
강남구,1957.33,1828,1658,0,일반,S-OIL
강남구,1841.55,1711.55,1541.55,0,일반,S-OIL
강남구,1828,1698,1528,0,일반,S-OIL
강남구,0,1599,1439,0,셀프,S-OIL
강남구,0,1570.38,1410.38,0,셀프,S-OIL
강남구,0,1521.26,1357.87,0,셀프,S-OIL
강남구,0,1392.33,1219.67,0,셀프,S-OIL
강남구,0,1325.45,1124.48,0,셀프,S-OIL
강남구,0,1372,1174.67,0,셀프,S-OIL
강남구,2045,1678,1538,1330,일반,GS칼텍스
강남구,2002.86,1636.62,1484.21,1330,일반,GS칼텍스
강남구,1952.84,1559.61,1394.13,1286.77,일반,GS칼텍스
강남구,1826.33,1398,1249.33,1185,일반,GS칼텍스
강남구,1698,1345.1,1201.87,1150,일반,GS칼텍스
강남구,1720.4,1440,1263,1150,일반,GS칼텍스
강남구,1783.06,1635,1495,0,일반,S-OIL
강남구,1785,1635,1493.97,0,일반,S-OIL
강남구,1742.55,1592.55,1462.55,0,일반,S-OIL
강남구,1610.33,1460.33,1321.33,0,일반,S-OIL
강남구,1501.45,1351.45,1199.29,0,일반,S-OIL
강남구,1524.33,1374.33,1210.9,0,일반,S-OIL
강남구,1782.42,1635,1495,0,일반,GS칼텍스
강남구,1785,1635,1495,0,일반,GS칼텍스
강남구,1746.48,1596.48,1465.65,0,일반,GS칼텍스
강남구,1607.33,1459,1319.67,0,일반,GS칼텍스
강남구,1498.71,1351.77,1199.06,0,일반,GS칼텍스
강남구,1523.33,1375,1211.67,0,일반,GS칼텍스
강남구,1759,1586,1446,0,셀프,SK에너지
강남구,1753.14,1575.31,1435.31,0,셀프,SK에너지
강남구,1725.77,1508.77,1340.97,0,셀프,SK에너지
강남구,1591.67,1372.43,1169.9,0,셀프,SK에너지
강남구,1489.39,1281.13,1079.39,0,셀프,SK에너지
강남구,1505,1323.33,1121,0,셀프,SK에너지
강남구,0,1655.39,1492.16,1300,셀프,S-OIL
강남구,0,1609.52,1457.14,1300,셀프,S-OIL
강남구,0,1544.23,1372.03,1300,셀프,S-OIL
강남구,0,1406.7,1224.03,1256.67,셀프,S-OIL
강남구,0,1361.06,1159.77,1200,셀프,S-OIL
강남구,0,1457,1222.8,1200,셀프,S-OIL
강남구,0,1628,1466,0,셀프,SK에너지
강남구,0,1589.03,1427.72,0,셀프,SK에너지
강남구,0,1542.45,1375.71,0,셀프,SK에너지
강남구,0,1436.6,1246.6,0,셀프,SK에너지
강남구,0,1363.61,1163.61,0,셀프,SK에너지
강남구,0,1414.5,1210.5,0,셀프,SK에너지
강남구,0,1555.52,1392.61,0,셀프,GS칼텍스
강남구,0,1561.55,1397.28,0,셀프,GS칼텍스
강남구,0,1516.23,1348.74,0,셀프,GS칼텍스
강남구,0,1375.6,1203.27,0,셀프,GS칼텍스
강남구,0,1305.13,1141.58,0,셀프,GS칼텍스
강남구,0,1341.8,1169.13,0,셀프,GS칼텍스
강남구,1809,1654.74,1515,0,셀프,GS칼텍스
강남구,1799.83,1641.55,1515,0,셀프,GS칼텍스
강남구,1761.13,1601.06,1473.52,0,셀프,GS칼텍스
강남구,1642.7,1467,1328.33,0,셀프,GS칼텍스
강남구,1553.71,1363.23,1205.77,0,셀프,GS칼텍스
강남구,1583,1425.33,1252,0,셀프,GS칼텍스
강남구,1804,1654,1532,0,일반,GS칼텍스
강남구,1791.79,1641.55,1525.79,0,일반,GS칼텍스
강남구,1749.71,1599.71,1470.74,0,일반,GS칼텍스
강남구,1624.67,1473,1337,0,일반,GS칼텍스
강남구,1505,1355,1198,0,일반,GS칼텍스
강남구,1539.67,1389.67,1216.3,0,일반,GS칼텍스
강남구,1819,1669,1549,0,일반,GS칼텍스
강남구,1796.72,1646.72,1541.14,0,일반,GS칼텍스
강남구,1749.71,1599.71,1470.35,0,일반,GS칼텍스
강남구,1623,1473,1336.33,0,일반,GS칼텍스
강남구,1499,1355,1198,0,일반,GS칼텍스
강남구,1538.07,1388.67,1215.97,0,일반,GS칼텍스
강남구,1811.03,1657.39,1505.29,1199,일반,GS칼텍스
강남구,1812,1643.62,1510,0,일반,GS칼텍스
강남구,1802.26,1598.55,1466.97,0,일반,GS칼텍스
강남구,1683,1468.47,1331.93,1199,일반,GS칼텍스
강남구,1568,1355,1198,0,일반,GS칼텍스
강남구,1602.33,1389.67,1220.63,0,일반,GS칼텍스
