"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2020년 09월","SK에너지","셀프","1698.00","1459.00","1253.67","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2020년 10월","SK에너지","셀프","1698.00","1460.26","1241.87","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2020년 11월","SK에너지","셀프","1698.00","1442.33","1233.33","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2020년 12월","SK에너지","셀프","1709.61","1475.10","1275.10","0.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 07월","SK에너지","일반","2048.00","1788.00","1648.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 08월","SK에너지","일반","2048.00","1788.00","1648.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 09월","SK에너지","일반","2048.00","1788.00","1648.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 10월","SK에너지","일반","2048.00","1788.00","1648.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 11월","SK에너지","일반","2048.00","1788.00","1648.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 12월","SK에너지","일반","2090.58","1867.35","1691.23","1350.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 07월","SK에너지","셀프","1545.81","1400.81","1200.81","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 08월","SK에너지","셀프","1553.61","1415.00","1215.00","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 09월","SK에너지","셀프","1549.00","1415.00","1215.00","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 10월","SK에너지","셀프","1549.00","1415.00","1215.00","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 11월","SK에너지","셀프","1545.27","1387.00","1187.00","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 12월","SK에너지","셀프","1571.45","1411.45","1211.45","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 07월","SK에너지","셀프","1565.00","1415.00","1245.00","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 08월","SK에너지","셀프","1565.00","1415.00","1245.00","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 09월","SK에너지","셀프","1565.00","1415.00","1242.40","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 10월","SK에너지","셀프","1565.00","1415.00","1239.00","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 11월","SK에너지","셀프","1565.00","1415.00","1217.40","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 12월","SK에너지","셀프","1582.10","1433.71","1233.71","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 07월","SK에너지","일반","1549.00","1419.00","1254.00","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 08월","SK에너지","일반","1549.00","1419.00","1254.00","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 09월","SK에너지","일반","1547.27","1417.27","1247.50","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 10월","SK에너지","일반","1545.00","1415.00","1230.36","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 11월","SK에너지","일반","1545.00","1415.00","1215.00","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 12월","SK에너지","일반","1563.06","1433.71","1233.06","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 07월","현대오일뱅크","일반","1898.00","1655.06","1475.06","0.00"
