"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 02월","SK에너지","일반","2148.00","1948.00","1813.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 03월","SK에너지","일반","2113.16","1905.10","1769.29","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 04월","SK에너지","일반","2039.00","1788.00","1646.33","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 05월","SK에너지","일반","1998.00","1738.00","1598.00","1350.00"
"A0009710","서울 강남구","SK논현주유소","서울 강남구 논현로 747 (논현동)","2020년 06월","SK에너지","일반","2028.00","1768.00","1628.00","1350.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 01월","SK에너지","셀프","1780.00","1625.00","1475.00","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 02월","SK에너지","셀프","1745.52","1590.52","1440.52","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 03월","SK에너지","셀프","1698.39","1543.39","1393.39","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 04월","SK에너지","셀프","1585.67","1437.67","1287.67","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 05월","SK에너지","셀프","1500.65","1355.65","1205.65","0.00"
"A0010207","서울 강남구","SK서광주유소","서울 강남구 역삼로 142","2020년 06월","SK에너지","셀프","1511.00","1366.33","1195.00","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 01월","SK에너지","셀프","1875.00","1675.00","1535.00","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 02월","SK에너지","셀프","1841.90","1641.90","1501.07","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 03월","SK에너지","셀프","1795.77","1595.77","1464.87","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 04월","SK에너지","셀프","1665.67","1462.70","1323.27","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 05월","SK에너지","셀프","1552.42","1352.42","1200.94","0.00"
"A0010235","서울 강남구","SK에너지(주) 매봉주유소","서울 강남구 언주로 307","2020년 06월","SK에너지","셀프","1544.05","1391.32","1222.37","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 01월","SK에너지","일반","1795.65","1655.97","1519.97","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 02월","SK에너지","일반","1775.00","1631.48","1493.83","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 03월","SK에너지","일반","1733.26","1578.35","1450.35","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 04월","SK에너지","일반","1597.73","1446.67","1300.67","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 05월","SK에너지","일반","1505.29","1363.19","1209.32","0.00"
"A0010236","서울 강남구","SK에너지㈜ 진달래주유소","서울 강남구 도곡로 208","2020년 06월","SK에너지","일반","1545.00","1415.00","1248.67","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 01월","현대오일뱅크","일반","2047.00","1838.00","1659.00","1350.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 02월","현대오일뱅크","일반","2024.24","1807.66","1627.93","1350.00"
